playlist_id_1,playlist_id_2,weight
37i9dQZF1DX4JAvHpjipBk,3rf3IiWoNudUaeQmMCtXwB,59
37i9dQZF1DX4JAvHpjipBk,12zuYFqWPS3eRBjps4nh4r,41
37i9dQZF1DWXJfnUiYjUKT,3rf3IiWoNudUaeQmMCtXwB,59
37i9dQZF1DWXJfnUiYjUKT,12zuYFqWPS3eRBjps4nh4r,41
2azTu91UrhGGiLnwIvpw9C,2sR7BrrkgsMQhUaaB9qxo4,57
2azTu91UrhGGiLnwIvpw9C,2Mh0ZSZncwHTClNcl5zCZf,57
2azTu91UrhGGiLnwIvpw9C,60G6IQEwaQs4kkEmBmDSvp,57
2azTu91UrhGGiLnwIvpw9C,0yDagEjoveJC0dVWBJecU2,57
2azTu91UrhGGiLnwIvpw9C,3YXLEWrpRg8HSC8GGTatMX,57
2azTu91UrhGGiLnwIvpw9C,62EHDU86eOXgwSGxN0oGy3,57
2azTu91UrhGGiLnwIvpw9C,4dL06q0yzsnCflS2jXtkwk,50
2sR7BrrkgsMQhUaaB9qxo4,3YXLEWrpRg8HSC8GGTatMX,57
2sR7BrrkgsMQhUaaB9qxo4,62EHDU86eOXgwSGxN0oGy3,57
2sR7BrrkgsMQhUaaB9qxo4,4dL06q0yzsnCflS2jXtkwk,50
7K7IPZdFwJi3Ewy0Zf0AYw,0yDagEjoveJC0dVWBJecU2,57
7K7IPZdFwJi3Ewy0Zf0AYw,60G6IQEwaQs4kkEmBmDSvp,57
7K7IPZdFwJi3Ewy0Zf0AYw,2sR7BrrkgsMQhUaaB9qxo4,57
7K7IPZdFwJi3Ewy0Zf0AYw,2Mh0ZSZncwHTClNcl5zCZf,57
7K7IPZdFwJi3Ewy0Zf0AYw,3YXLEWrpRg8HSC8GGTatMX,57
7K7IPZdFwJi3Ewy0Zf0AYw,62EHDU86eOXgwSGxN0oGy3,57
7K7IPZdFwJi3Ewy0Zf0AYw,4dL06q0yzsnCflS2jXtkwk,50
0yDagEjoveJC0dVWBJecU2,3YXLEWrpRg8HSC8GGTatMX,57
0yDagEjoveJC0dVWBJecU2,62EHDU86eOXgwSGxN0oGy3,57
0yDagEjoveJC0dVWBJecU2,4dL06q0yzsnCflS2jXtkwk,50
60G6IQEwaQs4kkEmBmDSvp,62EHDU86eOXgwSGxN0oGy3,57
60G6IQEwaQs4kkEmBmDSvp,3YXLEWrpRg8HSC8GGTatMX,57
60G6IQEwaQs4kkEmBmDSvp,4dL06q0yzsnCflS2jXtkwk,50
2Mh0ZSZncwHTClNcl5zCZf,3YXLEWrpRg8HSC8GGTatMX,57
2Mh0ZSZncwHTClNcl5zCZf,62EHDU86eOXgwSGxN0oGy3,57
2Mh0ZSZncwHTClNcl5zCZf,4dL06q0yzsnCflS2jXtkwk,50
37i9dQZF1DX5DfG8gQdC3F,3rf3IiWoNudUaeQmMCtXwB,41
3DdZ4aQcg9OBoplYViLiDC,2RlzH0NdsdPjvCEwP2Y7Uy,78
2RlzH0NdsdPjvCEwP2Y7Uy,2hEc9KNcCdU6M1QWWGmxTa,52
6SljdLWsxieR7gu0wXN96g,4ei0MXEGNtYHBRLHZdYoPA,67
6SljdLWsxieR7gu0wXN96g,2yK0S7avadD3cB4i2Y2qVr,60
6SljdLWsxieR7gu0wXN96g,55z6cA3OPG7unlm8oZ3SbX,58
6SljdLWsxieR7gu0wXN96g,0iIgFsUOBszemoGPQtTdhg,49
37i9dQZF1DXe5W6diBL5N4,6exivmHRcJFHmAB4KLKmuY,55
37i9dQZF1DXe5W6diBL5N4,2lhKsWFjNZPvIeiSMm3eBa,54
